UMLS:C3495144:T048:DISO	Apraxias, Articulatory
UMLS:C3495090:T047:DISO	Bacteremia caused by Gram-positive bacteria
UMLS:C3495041:T047:DISO	Herpes simplex infection of skin of breast
UMLS:C3495025:T047:DISO	Typical absence seizure, refractory
UMLS:C3495024:T047:DISO	Typical absence seizure, non-refractory
UMLS:C3495023:T047:DISO	Epilepsia partialis continua, non-refractory
UMLS:C3495022:T047:DISO	Atonic seizure, non-refractory
UMLS:C3495021:T047:DISO	Atonic seizure, refractory
UMLS:C3495020:T047:DISO	Clonic seizure, non-refractory
UMLS:C3495019:T047:DISO	Thrombosis of cerebral medullary veins
UMLS:C3495018:T047:DISO	Post-traumatic epilepsy, non-refractory
UMLS:C3495017:T047:DISO	Post-traumatic epilepsy, refractory
UMLS:C3495016:T047:DISO	Multiphasic acute disseminated encephalomyelitis
UMLS:C3495003:T047:DISO	Temporal lobe epilepsy, non-refractory
UMLS:C3495002:T047:DISO	Tonic seizures, non-refractory
UMLS:C3495001:T047:DISO	Cerebral venous thrombosis of cortical vein without infarction
UMLS:C3494995:T047:DISO	Infarction of lung due to embolus
UMLS:C3494992:T047:DISO	Severe myoclonic epilepsy in infancy, refractory
UMLS:C3494991:T047:DISO	Severe myoclonic epilepsy in infancy, non-refractory
UMLS:C3494990:T047:DISO	Myoclonic seizure, non-refractory
UMLS:C3494987:T047:DISO	Communicating congenital hydrocele
UMLS:C3494986:T019:DISO	Narcotic embryopathy
UMLS:C3494980:T047:DISO	Non-dystrophic recurrent erosion of cornea
UMLS:C3494979:T047:DISO	Infantile spasms, non-refractory
UMLS:C3494978:T047:DISO	Migrating partial seizures in infancy, non-refractory
UMLS:C3494977:T047:DISO	Migrating partial seizures in infancy, refractory
UMLS:C3494976:T047:DISO	Migrating partial seizures in infancy
UMLS:C3494975:T047:DISO	Petit mal status, non-refractory
UMLS:C3494973:T047:DISO	Benign occipital epilepsy of childhood - late onset, non-refractory
UMLS:C3494972:T047:DISO	Benign occipital epilepsy of childhood - late onset, refractory
UMLS:C3494970:T190:DISO	Idiopathic urethral stricture
UMLS:C3494968:T191:DISO	Gnathic osteosarcoma
UMLS:C3494967:T047:DISO	Infectious synovitis
UMLS:C3494955:T047:DISO	Bilateral intra-abdominal testes
UMLS:C3494954:T047:DISO	Hutch diverticulum
UMLS:C3494953:T048:DISO	Hypersomnia caused by alcohol
UMLS:C3494951:T047:DISO	Clonic seizure, refractory
UMLS:C3494950:T047:DISO	Intervertebral disc desiccation
UMLS:C3494943:T047:DISO	Hereditary cerebellar atrophy
UMLS:C3494942:T190:DISO	Idiopathic kyphosis deformity of spine
UMLS:C3494940:T047:DISO	Disease of renal parenchyma
UMLS:C3494939:T046:DISO	Talc embolism
UMLS:C3494933:T047:DISO	Sialodochitis fibrinosa
UMLS:C3494932:T047:DISO	Mucopyocele
UMLS:C3494930:T047:DISO	Juvenile absence epilepsy, non-refractory
UMLS:C3494929:T047:DISO	Juvenile absence epilepsy, refractory
UMLS:C3494927:T047:DISO	Arteriosclerosis of carotid artery
UMLS:C3494926:T047:DISO	Arteriosclerosis of thoracic aorta
UMLS:C3494925:T047:DISO	Arteriosclerosis of abdominal aorta
UMLS:C3494908:T047:DISO	Childhood absence epilepsy, non-refractory
UMLS:C3494907:T047:DISO	Childhood absence epilepsy, refractory
UMLS:C3494906:T047:DISO	Myoclonic absence epilepsy, non-refractory
UMLS:C3494905:T047:DISO	Myoclonic absence epilepsy, refractory
UMLS:C3494904:T047:DISO	Lennox-Gastaut syndrome, non-refractory
UMLS:C3494903:T047:DISO	Lennox-Gastaut syndrome, refractory
UMLS:C3494902:T047:DISO	Benign myoclonic epilepsy in infancy, non-refractory
UMLS:C3494901:T047:DISO	Benign myoclonic epilepsy in infancy, refractory
UMLS:C3494900:T047:DISO	Early infantile epileptic encephalopathy, non-refractory
UMLS:C3494899:T047:DISO	Early infantile epileptic encephalopathy, refractory
UMLS:C3494894:T047:DISO	Arthritis due to alkaptonuria
UMLS:C3494893:T190:DISO	Dextroscoliosis
UMLS:C3494892:T190:DISO	Levoscoliosis
UMLS:C3494889:T047:DISO	Cheilitis due to lupus erythematosus
UMLS:C3494880:T047:DISO	Seizures in the newborn, non-refractory
UMLS:C3494879:T047:DISO	Multiple AND bilateral precerebral artery stenosis without infarction
UMLS:C3494878:T047:DISO	Multiple AND bilateral precerebral artery stenosis with infarction
UMLS:C3494877:T047:DISO	Occlusion and stenosis of anterior cerebral artery without infarction
UMLS:C3494876:T047:DISO	Occlusion and stenosis of posterior cerebral artery without infarction
UMLS:C3494875:T047:DISO	Benign familial neonatal seizures, non-refractory
UMLS:C3494874:T047:DISO	Benign familial neonatal seizures, refractory
UMLS:C3494872:T047:DISO	Occlusion and stenosis of middle cerebral artery without infarction
UMLS:C3494871:T048:DISO	Moderate dementia
UMLS:C3494868:T047:DISO	Polyarthritis associated with hemochromatosis
UMLS:C3494867:T190:DISO	Basilar artery occlusion without infarction
UMLS:C3494866:T190:DISO	Carotid artery occlusion without infarction
UMLS:C3494865:T047:DISO	Subcortical nodular heterotopia
UMLS:C3494846:T047:DISO	Secondary right vesicoureteral reflux grade 5
UMLS:C3494845:T047:DISO	Secondary right vesicoureteral reflux grade 4
UMLS:C3494844:T047:DISO	Secondary right vesicoureteral reflux grade 3
UMLS:C3494843:T047:DISO	Secondary right vesicoureteral reflux grade 2
UMLS:C3494842:T047:DISO	Secondary right vesicoureteral reflux grade 1
UMLS:C3494841:T047:DISO	Secondary left vesicoureteral reflux grade 5
UMLS:C3494840:T047:DISO	Secondary left vesicoureteral reflux grade 4
UMLS:C3494839:T047:DISO	Secondary left vesicoureteral reflux grade 3
UMLS:C3494838:T047:DISO	Secondary left vesicoureteral reflux grade 2
UMLS:C3494837:T047:DISO	Secondary left vesicoureteral reflux grade 1
UMLS:C3494836:T047:DISO	Secondary right vesicoureteral reflux
UMLS:C3494835:T047:DISO	Secondary left vesicoureteral reflux
UMLS:C3494803:T047:DISO	Early myoclonic encephalopathy, non-refractory
UMLS:C3494802:T047:DISO	Early myoclonic encephalopathy, refractory
UMLS:C3494783:T046:DISO	Posterior inferior cerebellar artery embolism
UMLS:C3494782:T046:DISO	Anterior inferior cerebellar artery embolism
UMLS:C3494781:T046:DISO	Superior cerebellar artery embolism
UMLS:C3494780:T046:DISO	Embolism of middle cerebral artery
UMLS:C3494779:T047:DISO	Tumifactive orbital pseudotumor
